,Location,Median_Income
0,"Mount Rainier, Maryland",29065.0
1,"Laurel, Maryland",40609.0
2,"Westminster, Maryland",28861.0
3,"Hurlock, Maryland",21526.0
4,"Havre de Grace, Maryland",31951.0
5,"Hagerstown, Maryland",21987.0
6,"New Carrollton, Maryland",31556.0
7,"Greensboro, Maryland",24944.0
8,"Hyattsville, Maryland",31316.0
9,"Taneytown, Maryland",30461.0
10,"Perryville, Maryland",32453.0
11,"Princess Anne, Maryland",15763.0
12,"Seat Pleasant, Maryland",27464.0
13,"Snow Hill, Maryland",21585.0
14,"Trappe, Maryland",26916.0
15,"Upper Marlboro, Maryland",51174.0
16,"Greenbelt, Maryland",37669.0
17,"Ocean Pines, Maryland",34903.0
18,"Glenarden, Maryland",29710.0
19,"Fruitland, Maryland",26468.0
20,"Aberdeen, Maryland",27966.0
21,"Annapolis, Maryland",37580.0
22,"Baltimore, Maryland",25071.0
23,"Bel Air, Maryland",28911.0
24,"Bel Air, Maryland",38442.0
25,"Berwyn Heights, Maryland",37222.0
26,"Bowie, Maryland",49528.0
27,"Brentwood, Maryland",26603.0
28,"Brunswick, Maryland",34490.0
29,"Cambridge, Maryland",22255.0
30,"Capitol Heights, Maryland",31640.0
31,"Forest Heights, Maryland",32361.0
32,"Federalsburg, Maryland",18586.0
33,"Fairmount Heights, Maryland",27231.0
34,"Edmonston, Maryland",30212.0
35,"Easton, Maryland",26398.0
36,"Elkton, Maryland",28107.0
37,"Frederick, Maryland",33782.0
38,"Crisfield, Maryland",19011.0
39,"Cottage City, Maryland",30917.0
40,"Colmar Manor, Maryland",26042.0
41,"District Heights, Maryland",32120.0
42,"Pembroke, Virginia",18306.0
43,"Pennington Gap, Virginia",13368.0
44,"Poquoson, Virginia",40708.0
45,"Pulaski, Virginia",20745.0
46,"Rich Creek, Virginia",18918.0
47,"Richlands, Virginia",18559.0
48,"Pearisburg, Virginia",26733.0
49,"Portsmouth, Virginia",25267.0
50,"Norton, Virginia",19323.0
51,"Norfolk, Virginia",23871.0
52,"Newport News, Virginia",26608.0
53,"New Market, Virginia",20821.0
54,"Narrows, Virginia",23734.0
55,"Richmond, Virginia",22515.0
56,"Martinsville, Virginia",18014.0
57,"Marion, Virginia",18356.0
58,"Manassas Park, Virginia",34815.0
59,"Manassas, Virginia",33008.0
60,"Orange, Virginia",20962.0
61,"Roanoke, Virginia",23197.0
62,"Lynchburg, Virginia",17814.0
63,"Salem, Virginia",26329.0
64,"Wytheville, Virginia",20159.0
65,"Winchester, Virginia",25551.0
66,"Williamsburg, Virginia",15446.0
67,"Weber City, Virginia",19688.0
68,"Waynesboro, Virginia",25710.0
69,"Warrenton, Virginia",35987.0
70,"Virginia Beach, Virginia",32694.0
71,"Rocky Mount, Virginia",18178.0
72,"Vinton, Virginia",24539.0
73,"Tappahannock, Virginia",20654.0
74,"Suffolk, Virginia",31269.0
75,"Strasburg, Virginia",30314.0
76,"Stephens City, Virginia",30387.0
77,"Staunton, Virginia",23754.0
78,"South Boston, Virginia",19658.0
79,"Smithfield, Virginia",35366.0
80,"Shenandoah, Virginia",19017.0
81,"Vienna, Virginia",60755.0
82,"Luray, Virginia",17369.0
83,"St. Paul, Virginia",27069.0
84,"Covington, Virginia",20152.0
85,"Colonial Heights, Virginia",30668.0
86,"Colonial Beach, Virginia",24369.0
87,"Coeburn, Virginia",16357.0
88,"Clintwood, Virginia",21563.0
89,"Clifton Forge, Virginia",16912.0
90,"Christiansburg, Virginia",31902.0
91,"Chilhowie, Virginia",20963.0
92,"Chesapeake, Virginia",33183.0
93,"Chase City, Virginia",17222.0
94,"Charlottesville, Virginia",26257.0
95,"Crewe, Virginia",21226.0
96,"Cape Charles, Virginia",28375.0
97,"Brookneal, Virginia",15402.0
98,"Bridgewater, Virginia",24023.0
99,"Big Stone Gap, Virginia",15794.0
100,"Bedford, Virginia",16571.0
101,"Ashland, Virginia",19041.0
102,"Appalachia, Virginia",14987.0
103,"Altavista, Virginia",19635.0
104,"Alexandria, Virginia",51653.0
105,"Abingdon, Virginia",22037.0
106,"Blackstone, Virginia",20572.0
107,"Danville, Virginia",19403.0
108,"Damascus, Virginia",17359.0
109,"Leesburg, Virginia",41573.0
110,"Hurt, Virginia",21531.0
111,"Hillsville, Virginia",20942.0
112,"Harrisonburg, Virginia",15463.0
113,"Hampton, Virginia",26943.0
114,"Gretna, Virginia",18158.0
115,"Gordonsville, Virginia",22746.0
116,"Gate City, Virginia",17158.0
117,"Hopewell, Virginia",24305.0
118,"Galax, Virginia",17353.0
119,"Dumfries, Virginia",31525.0
120,"Dayton, Virginia",26341.0
121,"Emporia, Virginia",19335.0
122,"Exmore, Virginia",13376.0
123,"Elkton, Virginia",26607.0
124,"Fredericksburg, Virginia",26796.0
