State,City,Percent_Unemployment
Maryland,La Plata,1.99
Maryland,Mount Rainier,7.2
Maryland,Laurel,5.14
Maryland,Westminster,3.65
Maryland,Manchester,1.97
Maryland,Landover Hills,7.76
Maryland,Hampstead,2.75
Maryland,Hurlock,13.06
Maryland,Havre de Grace,6.44
Maryland,Hagerstown,7.97
Maryland,New Carrollton,9.6
Maryland,Greensboro,9.93
Maryland,Hyattsville,5.17
Maryland,North East,5.18
Maryland,Taneytown,3.15
Maryland,Perryville,9.07
Maryland,Pocomoke City,15.72
Maryland,Princess Anne,3.39
Maryland,Ridgely,4.98
Maryland,Riverdale Park,6.35
Maryland,Salisbury,6.57
Maryland,Seat Pleasant,7.85
Maryland,Smithsburg,3.91
Maryland,Snow Hill,8.16
Maryland,St. Michaels,2.44
Maryland,Thurmont,7.47
Maryland,Trappe,7.09
Maryland,Upper Marlboro,2.27
Maryland,Greenbelt,5.21
Maryland,Ocean Pines,3.59
Maryland,Glenarden,5.81
Maryland,Delmar,5.3
Maryland,Frostburg,6.53
Maryland,Fruitland,3.77
Maryland,Aberdeen,6.08
Maryland,Annapolis,3.63
Maryland,Baltimore,8.08
Maryland,Bel Air,3.51
Maryland,Bel Air,4.26
Maryland,Berlin,4.16
Maryland,Berwyn Heights,3.87
Maryland,Bladensburg,6.65
Maryland,Bowie,5.53
Maryland,Brentwood,4.57
Maryland,Brunswick,2.8
Maryland,Cambridge,7.88
Maryland,Capitol Heights,10.93
Maryland,Centreville,1.53
Maryland,Boonsboro,6.92
Maryland,Cheverly,7.5
Maryland,Chestertown,2.73
Maryland,Forest Heights,9.34
Maryland,Federalsburg,8.17
Maryland,Fairmount Heights,12.77
Maryland,Edmonston,3.68
Maryland,Easton,3.68
Maryland,Elkton,5.52
Maryland,Frederick,4.79
Maryland,Cumberland,6.66
Maryland,Crisfield,6.41
Maryland,Cottage City,6.53
Maryland,Colmar Manor,6.08
Maryland,District Heights,10.16
Virginia,Pembroke,4.96
Virginia,Pennington Gap,4.47
Virginia,Petersburg,7.36
Virginia,Poquoson,2.83
Virginia,Radford,4.33
Virginia,Pulaski,4.66
Virginia,Purcellville,3.36
Virginia,Rich Creek,2.95
Virginia,Richlands,3.46
Virginia,Pearisburg,2.32
Virginia,Portsmouth,7.12
Virginia,Parksley,3.99
Virginia,Mount Jackson,5.2
Virginia,Onley,0.0
Virginia,Onancock,4.41
Virginia,Norton,6.88
Virginia,Norfolk,6.21
Virginia,Newport News,5.78
Virginia,New Market,1.94
Virginia,Narrows,1.1
Virginia,Richmond,6.53
Virginia,Middletown,6.73
Virginia,Martinsville,6.15
Virginia,Marion,2.38
Virginia,Manassas Park,3.1
Virginia,Manassas,5.67
Virginia,Orange,3.36
Virginia,Roanoke,5.29
Virginia,Lynchburg,4.6
Virginia,Salem,3.02
Virginia,Wytheville,5.74
Virginia,Woodstock,2.67
Virginia,Wise,5.01
Virginia,Windsor,5.83
Virginia,Winchester,4.19
Virginia,Williamsburg,4.12
Virginia,West Point,4.69
Virginia,Weber City,6.67
Virginia,Waynesboro,3.0
Virginia,Waverly,5.96
Virginia,Warrenton,3.54
Virginia,Virginia Beach,3.9
Virginia,Rocky Mount,3.54
Virginia,Vinton,4.06
Virginia,Victoria,5.11
Virginia,Timberville,3.5
Virginia,Tazewell,3.3
Virginia,Tappahannock,6.22
Virginia,Suffolk,5.13
Virginia,Strasburg,3.88
Virginia,Stephens City,6.49
Virginia,Staunton,3.33
Virginia,South Hill,1.73
Virginia,South Boston,5.66
Virginia,Smithfield,7.87
Virginia,Shenandoah,6.02
Virginia,Vienna,2.3
Virginia,Luray,4.07
Virginia,St. Paul,2.58
Virginia,Lexington,0.88
Virginia,Covington,3.68
Virginia,Colonial Heights,4.99
Virginia,Colonial Beach,3.89
Virginia,Coeburn,8.32
Virginia,Clintwood,3.04
Virginia,Clifton Forge,5.94
Virginia,Christiansburg,2.72
Virginia,Chincoteague,4.14
Virginia,Chilhowie,6.5
Virginia,Chesapeake,4.73
Virginia,Chase City,7.47
Virginia,Charlottesville,2.73
Virginia,Crewe,8.26
Virginia,Cape Charles,4.17
Virginia,Brookneal,1.97
Virginia,Bristol,6.13
Virginia,Bridgewater,1.91
Virginia,Bluefield,2.97
Virginia,Big Stone Gap,3.55
Virginia,Bedford,4.53
Virginia,Ashland,3.31
Virginia,Appalachia,10.36
Virginia,Altavista,3.14
Virginia,Alexandria,3.5
Virginia,Abingdon,3.17
Virginia,Louisa,4.61
Virginia,Buena Vista,4.07
Virginia,Culpeper,5.24
Virginia,Blackstone,3.83
Virginia,Danville,7.11
Virginia,Damascus,6.56
Virginia,Leesburg,3.32
Virginia,Lebanon,1.86
Virginia,Lawrenceville,10.61
Virginia,Hurt,3.67
Virginia,Hillsville,2.32
Virginia,Haymarket,3.58
Virginia,Harrisonburg,3.77
Virginia,Hampton,6.02
Virginia,Grottoes,2.67
Virginia,Gretna,4.25
Virginia,Gordonsville,4.48
Virginia,Gate City,6.71
Virginia,Hopewell,7.67
Virginia,Front Royal,6.16
Virginia,Galax,3.46
Virginia,Dublin,6.85
Virginia,Dumfries,8.71
Virginia,Dayton,0.66
Virginia,Emporia,10.88
Virginia,Exmore,2.85
Virginia,Elkton,2.72
Virginia,Falls Church,3.18
Virginia,Farmville,4.01
Virginia,Franklin,8.25
Virginia,Fredericksburg,5.92
